source,level 1,level 2,level 3
Россиянка Елена Максимова одержала победу в международном конкурсе «Миссис Вселенная».,"Россиянка Елена Максимова выиграла конкурс ""Миссис Вселенная"".","Елена Максимова из России стала победительницей конкурса ""Миссис Вселенная"".",Россиянка Елена Максимова выиграла конкурс.
"Представительница России впервые завоевала этот титул, сообщает ТАСС со ссылкой на организаторов конкурса.",Россиянка впервые получила эту награду,Россиянка-first выиграла эту награду.,Россиянка победила впервые.
"Уточняется, что финал прошел в Софии 4 февраля.",Финал состоялся 4 февраля в городе София.,Финал прошел 4 февраля в Софии.,Финал прошел 4 февраля в Софии.
"Участие в нем принимали 120 женщин из разных стран – Китая, Таиланда, Филиппин, Японии, Индии, Белоруссии, Украины, Германии, Испании, США и других.",В этом мероприятии приняли участие 120 женщин из различных стран.,В этом мероприятии приняли участие 120 женщин из разных стран.,Женщины из разных стран участвовали в событии.
"«Конкуренция на конкурсе была очень жесткая: рекордное число участниц, и все из них достойны победы.","«Конкурс был очень трудным: много участниц, и каждая заслуживает победы.","«Конкурс был очень сложным: много участниц, но все они хороши.","«Конкурс был сложным: много участниц, все хорошие."
"Для меня большая честь представлять страну на таком серьезном конкурсе, и я очень рада, что возвращаюсь с победой.",Я счастлива представлять нашу страну на этом конкурсе и возвращаться с победой.,Я горда представлять нашу страну на этом конкурсе,Меня привели на конкурс
"Особенно приятно быть первой участницей, которая принесла России победу», – рассказала Максимова.","Максимова сказала: ""Я была первой, кто принёс России победу.""","Максимова сказала, что это особенное чувство быть первой и принести Росси victoriyu.","Максимова сказала: ""Я была первым, кто помог Россию выиграть."""
"США в декабре 2022 года увеличили экспорт в Россию до 112,8 миллиона долларов с ноябрьских 62,6 миллиона долларов, а импорт из России – до 638,4 миллиона долларов с 594,3 миллиона долларов, свидетельствуют данные американской статистики.","В декабре 2022 года США увеличили экспорт в Россию до 112,8 миллионов долларов","В США в декабре 2022 года было больше экспорта в Россию - 112,8 миллионов долларов",В декабре 2022 года США увеличили экспорт в Россию
"Тем не менее в условиях антироссийских санкций, которые США продолжают вводить из-за конфликта на Украине, товарооборот был в разы ниже показателей декабря 2021 года.",В результате российско-американских санкций торговый оборот между странами упал,"Несмотря на санкции США против России из-за украинского конфликта, торговый обмен был сильно меньше декабрьских показателей 2021 года.",Товарооборот с США низкий
"Как сообщила РБК управляющий партнёр компании «Метриум» Надежда Коркка, в границах старой Москвы минимальная стоимость квартиры составляет 5 млн 200 тысяч рублей, за такие деньги можно купить жильё в Западном Дегунине.","Управляющая партнёр компании «Метриум» Надежда Коркка рассказала, что минимальная цена на квартиру в старой части Москвы составляет 5 млн 200 тысяч рублей","Надежда Коркка из «Метриум» говорит, что самая дешевая квартира в старой Москве стоит 5 млн 200 тысяч рублей.","Минимальная цена на квартиру в старой части Москвы составляет 5,2 миллиона рублей."
"Федеральный бюджет РФ в январе, по предварительным данным, исполнен с дефицитом 1,776 трлн рублей, что в 14 раз превысило его объем в январе прошлого года (125 млрд рублей) и составило 60% от планов на 2023 год (2,925 трлн рублей), следует из данных Минфина, опубликованных на сайте.","Бюджет России за январь выполнен с дефицитом в 1,776 триллионов рублей","Бюджет России в январе исполнен с дефицитом в 1,776 трлн рублей",Бюджет России в январе дефицитный
"Доходы в январе сложились в размере 1,356 трлн рублей, что на 35% меньше объема поступления доходов годом ранее.","Доходы в начале года составили 1,356 трлн рублей","В январе получено 1,356 трлн рублей","Доход за январь - 1,356 трлн рублей"
"При этом нефтегазовые доходы составили 426 млрд рублей, сократившись к январю 2022 года на 46%.",Нефтегазовые доходы за этот период составили 426 млрд рублей,Нефтегазовые доходы составили 426 трлн рублей,Нефтяные деньги - 426 трлн руб
"Это, как отмечает Минфин, связано в первую очередь со снижением котировок цен на нефть марки Urals и сокращением объемов экспорта природного газа.",В России цены на нефть и газ упали из-за низких мировых цен.,Снижение цен на нефть и газ связано с изменением рыночных цен.,Снижение цены на нефть.
"Вице-премьер Александр Новак заявил, что Россия в марте добровольно сократит добычу нефти на 500 тыс. баррелей в сутки.","Вице-премьер Александр Новак сказал, что Россия в марте уменьшит производство нефти на 500 тысяч баррелей в день добровольно.","Вице-премьер Александр Новак сказал, что Россия в марте добровольно уменьшит нефтяное производство на 500 тысяч баррелей в день.","Александр Новак говорит, что Россия уменьшит нефть."
"Страна не будет продавать нефть тем, кто прямо или косвенно придерживается потолка цен.","Страна не будет продавать нефть тем, кто поддерживает ограничение цены.","Страна не станет продавать нефть тем, кто поддерживает ограничение цен на нефть.","Нефть не продается тех, кто установил цену."
"Дальнейшие решения о добыче нефти будут приниматься с учетом складывающейся на рынке ситуации, добавил господин Новак.",Будущие решения о нефтяной добыче будут зависеть от текущей ситуации на рынке.,Будущие решения по нефтяному делу будут зависеть от текущей экономической обстановки.,Будет учитываться рыночная ситуация.
"«На сегодняшний день мы полностью реализовываем весь объем производимой нефти, однако, как и было заявлено раньше, мы не будем продавать нефть тем, кто прямо или косвенно придерживается принципов ценового потолка.",«Мы сейчас полностью использруем всю производимую нами нефть,«Мы уже сейчас добиваемся максимального использования нашей добытой нефти,Мы производим все нефть
"В связи с этим Россия в марте добровольно сократит добычу на 500 тыс. баррелей в сутки», – передает пресс-служба правительства слова вице-премьера.",Россия в марте добровольно сократит нефтедобычу на 500 тысяч баррелей в день.,Россия в марте уменьшит добычу нефти на 500 тысяч баррелей в день.,Россия сократит нефть.
"По его мнению, это решение будет способствовать восстановлению рыночных отношений.","По его мнению, это решение поможет улучшить отношения на рынке.","Его мнение такое: решив эту проблему, рынок начнет работать лучше.",Его идея - улучшить торговлю.
Аукционный дом «Литфонд» выставил на торги посмертную маску Николая Гоголя.,"Аукционный дом ""Литфонд"" продает посмертную маску писателя Николая Гоголя.","Аукционный дом ""Литфонд"" продает маску для лица писателя Николая Гоголя.",Аукцион - посмертная маска Николая Гоголя.
Начальная стоимость составляет 250 тысяч рублей.,Стоимость начала проекта равна 250 тысячам рублей.,Стоимость начала составляется 250 тысяч рублей.,Старая цена равна 250 тысячам рублей.
Торги пройдут на площадке аукционного дома 9 февраля.,Торги пройдут на площадке аукционного дома 9 февраля,Торги будут 9 февраля в аукционном доме.,Торги будут 9 февраля.
Маску посмертно снял скульптор Николай Рамазанов через несколько часов после смерти писателя.,"Скульптор Николай Рамазанов создал портрет писателя, который был установлен после его смерти.",Скульптор Николай Рамазанов снял маску у покойного писателя.,Скульптор снял маску с писателя.
"Сообщается, что лот обладает коллекционной ценностью музейного уровня.","Лот имеет большую коллекционную стоимость, соответствующую музею.",Лот стоит какCollector's Value - museum level.,Лот ценный
Наколай Гоголь умер 4 марта 1852 года.,Наколай Гоголь умер 4 марта 1852 года,Наколай Гоголь умер 4 марта 1852 года.,Наколай Гоголь умер в 1852 году.
В Краснодаре 26 февраля пройдет фестиваль жестовой песни «Кубанская душа».,В Краснодаре на 26 февраля запланирован фестиваль «Кубанская душа».,В Краснодаре будет фестиваль кубанской музыки.,В Краснодаре есть музыкальный фестиваль.
Мероприятие организуют на грант администрации Краснодарского края.,Событие финансируется за счет гранта от власти Краснодарского края.,Событие получит финансирование от правительства Краснодарского края.,Событие оплачено правительством.
Событие приурочили ко Дню защитника Отечества.,Событие связали с Днем защитника Отечества.,Событие связано с Днем защитника Отечества.,Событие - к Дню Защитников.
"Слышашие и глухие артисты исполнят военные и патриотические песни, а также гимны Российской Федерации и Кубани.","Артисты исполнят военные и патриотические песни, включая гимны России и Кубани.",Глухие и слышащие артисты споют военные и любящие Родину песни.,Музыканты поют патриотические песни.
"Для посетителей фестиваля откроют интерактивные площадки, организуют экскурсию по Краснодару и концерт в театре «Мюзик-холл».",Для гостей фестиваля будут доступны интересные площадки для участия,Для гостей фестиваля есть интересное,Посетители фестиваля видят площадки
Для участия необходимо пройти регистрацию до 10 февраля на сайте администрации края.,"Чтобы принять участие, нужно зарегистрироваться до 10 февраля на сайте управления областью.",Нужно зарегистрироваться до 10 февраля на сайте местной власти.,Нужно зарегестрироваться
"Фестиваль «Кубанская душа» организован Центром молодежных инициатив, организацией «Регион 93», Кубанским союзом молодежи и Краснодарским отделением Всероссийского общества глухих.","Фестиваль ""Кубанская душа"" организован Центром молодежных инициатив, группой ""Регион 93"", Кубанским союзом молодежи и Краснодарским отделением Всероссийского общества глухих.","Фестиваль «Кубанская душа» – совместная акция Центра молодежных инициатив, организации «Регион 93», Кубанского союза молодежи и Краснодарского отделения Всероссийского общества глухих.","Фестиваль ""Кубанская душа"" - организован молодыми людьми."
Скончался актер Сергей Столяров.,Умер актер Сергей Столяров.,Умер актер Сергей Столяров.,Умер актер Сергей Столяров.
Представитель актерской династии Столяровых умер на 63-м году жизни 7 февраля.,Актер из знаменитой семьи Столяровых скончался в возрасте 57 лет,Актер Столяров умер в возрасте 63 года.,Умер актер из знаменитой семьи.
О кончине артиста пишет «Кино-Театр».,"Новость о смерти актёра опубликовала газета ""Кино-Театр"".",Умер известный артист,Умер известный артист.
"Сергей Столяров известен по ролям в фильмах «Завтра была война», «Следствие ведут знатоки», «Возвращение».","Сергей Столяров сыграл в фильмах ""Завтра была война"", ""Следствие ведут знатоки"" и ""Возвращение"".","Сергей Столяров играет в фильмах ""Завтра была война"", ""Следствие ведут знатоки"", и ""Возвращение"".",Сергей Столяров сыграл в кино.
Всего Столяров снялся в 11 кинофильмах.,Столяров появился в 11 фильмах.,Столяров снялся в 11 фильмах.,Столяров снялся в 11 фильмах.
"Сергей Столяров окончил Высшее театральное училище имени М.С.Щепкина, служил в Театре советской армии.",Сергей Столяров изучал актёрское искусство в Высшем театральном училище и работал в Театре советской армии.,Сергей Столяров закончил театральное училище и работал в армейском театре.,Сергей Столяров учился в театральном училище
"Участвовал в создании телепроектов «Детский час», «Архипелаг», «Взгляд», «Телескоп», занимал должность главного продюсера детского и юношеского вещания канала «ТВ Центр», генерального продюсера образовательного канала «Школьник ТВ».",Участвовал в создании телепроектов,Участвовал в создании телепроектов,Участвовал в создании телепроектов
"Сергей Столяров – внук знаменитого актера Сергея Столярова, сын актера Кирилла Столярова.",Сергей Столяров - он есть внук известного актера и сын актера.,Сергей Столяров – внук известного актера,Сергей Столяров - внук известного актера.
"Исторический музей провел реэкспозицию Золотой кладовой, передает пресс-служба Министерства культуры России.",Музей проводил переустройство Золотого сундука.,Музей сделал изменение в экспозиции «Золотая кладовая».,"Музей сделал новый выставочный проект ""Золотая кладовая""."
Работы проведены ко дню рождения музея.,Перед днём рождения музей закончил работы.,Работы завершены к дню рождения музея.,Работы сделаны к юбилею музея.
В основу выставки легли предметы из отдела драгоценных металлов Исторического музея.,В выставку вошли вещи из музея из раздела драгоценных металлов.,"В экспозицию вошли вещи из музейного фонда, связанные с драгоценными металлами.",Есть экспозиция с золотом и драгоценными камнями.
"По словам директора музея Алексея Левыкина, коллекция на сегодняшний день насчитывает более 30 тысяч предметов.",Коллекция в музее составляет более 30 тысячи предметов.,"Директор музея Алексей Левыкин говорит, что у них сейчас около 30 000 вещей.",Коллекция музея большая
"«Новая экспозиция Золотой кладовой – это прекрасный шанс для посетителей увидеть часть этого великолепного собрания, среди которого представлены лучшие работы русских и зарубежных ювелиров», – рассказал руководитель.",«Новая экспозиция Золотой кладовой теперь дает возможность гостям увидеть некоторые части этой замечательной коллекции,"""Новая экспозиция Золотой кладовой дает возможность посетителям увидеть часть этой замечательной коллекции","""Новая экспозиция - хороший момент, чтобы увидеть ценный коллекционный предмет."""
"В трех разделах Золотой кладовой представлены более 400 шедевров церковного искусства, мемориальных изделий, предметов роскоши и модного быта.",В Золотой кладовой есть три части,В трёх частях «Золотой кладовой» показано более 400 шедевров,В Золотой кладовой есть 400 хороших картин.
"Правительство внесло в Госдуму РФ законопроект о невозможности задержания, а также применения меры пресечения по истечении сроков давности, документ размещен в думской базе данных.",В России предложили запретить применять меры пресечения после снятия уголовного дела с учета,"В России готовят закон, который запретит полиции задерживать людей и применять меры пресечения после истечения срока давности.",В правительстве сделали законопроект
Соответствующие поправки вносятся в статью 91 («Основания задержания подозреваемого»).,"Изменения делаются в закон о том, когда можно держать человека под стражей.",Делаются изменения во внутренней части статьи 91.,Правки делают в закон.
"Согласно документу, лицо не может быть задержано по подозрению в совершении преступления, по которому истекли сроки давности уголовного преследования.","Лицо не может быть задержано, если срок давности преступления уже прошел.","Лицо не может быть задержанное, если срок давности истек.",Лицо не может быть задержано
"Как уточняется, проект закона не распространяется на случаи, когда лицо подозревается или обвиняется в совершении преступления, наказуемого смертной казнью или пожизненным лишением свободы.","Проект закона не касается случаев, когда человек подозревается или виновен в серьезном преступлении.","Проект закона не касается случаев, когда человек подозревается или винoven в тяжком преступлении.",Проект закона - не для убийц.
Ранее ГД на пленарном заседании приняла закон об обязательном сборе геномной информации у всех осужденных и подозреваемых.,"Раньше парламент принял закон о том, что у всех, кто привлечен к уголовной ответственности, должна быть взята геномная информация.",Закон о сборах ДНК для заключенных и подследственных был утвержден в парламенте.,Закон о геномной информации.
"В 2022 году в Москве в ДТП погибли 300 человек, что в 2,5 раза меньше, чем в 2010 году, сообщил в своем Telegram-канале мэр столицы Сергей Собянин.",В 2022 году в Москве в авариях погибло 300 человек,В 2022 году в Москве в авариях погибло 300 человек,В 2022 году в Москве в аварии умерли 300 человек
"Согласно его сведениям, число аварий с пострадавшими, случившихся на московских дорогах, сократилось за 12 лет на 34%.",За 12 лет количество аварий с пострадавшими на московских улицах уменьшилось на 34%.,"По данным, число дорожных происшествий с пострадавшими в Москве уменьшилось на 34% за последние 12 лет.",Число аварий с людьми уменьшилось.
"«Москва остается лидером по безопасности дорожного движения в России», – отметил Собянин.","""Москва осталась городом с лучшей безопасностью на дорогах в России"", - сказал Собянин.","«Москва safest в стране для езды на машине», — сказал Собянин.","«Москва safest road city Russia», — сказал Собянин."
"По его словам, этому способствует комплексный подход к развитию транспортной системы столицы и взаимодействие властей города с ГИБДД.","По его мнению, развитие транспортной системы столицы улучшается благодаря комплексным мерам и сотрудничеству городских властей с дорожными инспекторами.","По его словам, развитие Москвы Depends от совместных действий городских властей и ГИБДД.",Этот комплексный подход помогает разрабатывать систему городского транспорта
"Токсикологи Филатовской больницы в Москве сохранили ногу трехлетнему мальчику, которого ужалила ядовитая медуза.",В московской больнице спасли ногу маленькому мальчику после укуса вредной медузы.,"В Москве в Филатовскую больницу привезли трехлетнего мальчика, которого ужалила ядовитая медуза",Токсикологи спасли ногу ребенку.
"Случай произошел еще в октябре 2022 года, однако в пресс-службе больницы рассказали о нем только сейчас.","В октябре прошлого года случился какой-то случай, но об этом известно только теперь.",В одной больнице был странный случай,Случай был в прошлом году но об этом знали только теперь.
Мальчик пострадал во время отдыха с родителями в Объединенных Арабских Эмиратах: во время купания в море его ужалила ядовитая медуза.,"Мальчика укусил ядовитый морской муравей, когда он играл на пляже.","Мальчик получил ранение, когда с родителями он отдыхал на пляже в Объединенных Арабских Эмиратах",Мальчик получил ранение
В месте соприкосновения сразу появился отек и сильный ожог.,В месте соприкосновения появились отек и сильный ожог.,В месте касания моментально образовался отек и серьезная жжение.,В месте сожжения появились отеки и ожоги.
"Родители мальчика обратились в местную клинику, однако состояние мальчика ухудшалось: поднялась температура, отек усилился, кровообращение в пальцах ухудшилось.",Мальчик оказался в больнице,Мальчик заболел очень серьезно,Родители заболевшего ребенка отправили его в больницу.
"На автомобильном заводе «Урал» в Миассе началась масштабная реконструкция, в ходе которой сносятся исторические цеха, построенные в 1940-х годах.","На заводе ""Урал"" в Миассе идет большая перестройка","На заводе ""Урал"" в Миассе идет большой ремонт","На завода ""Урал"" делают ремонт"
"На их месте построят современные быстровозводимые здания, сообщает Quto.",На место старых зданий построют новые быстровозводимые строения.,Будут построены новые быстрые дома вместо старых.,Сейчас будут построены новые дома.
"Под снос пойдут комплексы производственных и административных зданий, построенных вскоре после открытия автозавода, которые исчерпали свой ресурс.","Комплексы зданий, построенных давно, будут разобраны.","Сбудутся комплексы старых зданий, которые больше не нужны.",Будут разрушать старые здания.
Решение о строительстве автозавода в Миассе Челябинской области было принято осенью 1941 года.,В Миассе построили автомобильный завод в 1941 году.,Автозавод в Миассе построен согласно решению от осени 1941 года.,Завод в Миассе построили в 1941 году.
На Урал после начала Великой Отечественной войны эвакуировали оборудование моторного и литейного производств московского ЗИСа.,"После начала Великой Отечественной войны, на Урал было эвакуировано оборудование для производства машин (моторное производство) и литья (литейное производство)",После войны началась эвакуация с Урала оборудования для производства машин и металлургического оборудования.,"После войны, на Урал, перевезли машины и литье."
В дальнейшем там было организовано производство грузовиков.,Затем там началось производство грузовиков.,В будущем в том месте сделали фабрику по изготовлению грузовых машин.,Позже создали завод по сборке грузовых автомобилей.
Первый автомобиль ЗИС-5В сошел с конвейера завода летом 1944 года.,Первый ЗИС-5В с конвейера выпал в 1944 году.,Первый ЗИС-5В построили летом 1944 года.,Первый ЗИС-5В построили в 1944.
"На сайте ГУП «Петербургский метрополитен» 7 февраля сообщается, что специалисты планируют восстановить гидроизоляцию наклонного хода и заменить водоотводящие зонты.","На сайте Петербургского метрополитена сообщают, что в феврале 2023 года будут восстановлены наклонный ход и водоотводящие системы.","На сайте Санкт-Петербургского метрополитена 7 февраля говорится о том, что сотрудники намерены отремонтировать крышу входа в подземное пространство и установить новые трубы, чтобы вода не заливалась.",На сайте метро
"В числе задач также ремонт эскалаторов, замена внутренних систем и коммуникаций, облицовки стен и напольного покрытия.",Одной из проблем является ремонт эскалаторов,Задачи включают ремонт эскалаторов,Отремонтируем эскалаторы
"На время работ изменятся трассы следования и усилится движение автобусов № 30, 131, 271, 169, 77, 92, 222, а также трамвая № 39.",В это время из-за строительства будут изменены маршруты общественного транспорта,Во время работ трассы некоторых маршрутов изменятся,"Во время ремонта будут изменимыся маршруты, и увеличится количество автобусов и трамвая."
Напоминаем о введении дополнительных временных автобусных маршрутов – № 24М и 27М.,Помним о появлении новых автобусных маршрутов - № 24М и 27М.,Поминаем: добавили новые автобусные маршруты - номера 24М и 27М.,Поменяли автобусные маршруты.
"Транспорт будет двигаться от площади Александра Невского по Заневскому проспекту до проспекта Косыгина, а затем по трассам маршрутов № 24 и № 27 до станций «Хасанская улица» и «Белорусская улица» соответственно.",Транспорт начнет движение от Александра Невского на Заневский проспект,Транспорт будет ехать от площади Александра Невского к проспекту Косыгина,Транспорт движется от Александра Невского
В обратную сторону – без остановок у станции «Новочеркасская».,"В обратном направлении поезд не останавливается в станцию ""Новочеркасская"".","В противоположную сторону - прямая поездка до станции ""Новочеркасская"".",В обратную сторону - прямая поездка до «Новочеркасской».
"Кроме того, запустят новый бесплатный трамвайный маршрут № 30 от станции метро «Ладожская» до площади Александра Невского.",В ближайшее время будет добавлен бесплатный трамвайный маршрут,Бесплатный трамвай будет ехать от Ладожской на площадь Александра Невского.,Ещё добавят новый трамвай
«Лента» планирует запустить новую сеть супермаркетов.,"""Лента"" собирается открыть новые магазины.","""Лента"" готовит открытие новых магазинов.",«Лента» создает новые магазины.
Об этом «РБК Петербург» сообщили в службе по связям с общественностью и государственными органами сети.,"О новостях ""РБК Петербург"" рассказали в пресс-службе.","Служба ""РБК Петербург"" рассказала о своем новостном издании через официальный контакт.",О новости рассказали представители сети.
Компания обратилась в Роспатент с просьбой зарегистрировать в Санкт-Петербурге новую торговую марку – «Лента Эконом».,Компания хочет зарегистрировать новую торговую марку - «Лента Эконом» - в Санкт-Петербурге.,Компания попросила Роспатент зарегистрировать в Петербурге новую бренд - «Лента Эконом».,Компания просит регистрировать новый логотип.
